Ordem_Efeito;Nome_Efeito;Tipo_Efeito
1;GC;Fixo_Crossclassified
2;Fazenda;Fixo_Crossclassified
3;Estacao;Fixo_Crossclassified
4;Lote_Manejo;Fixo_Crossclassified
5;Regime_Alim;Fixo_Crossclassified
6;Tipo_Pastagem;Fixo_Crossclassified
7;Localidade_Bloco;Fixo_Crossclassified
8;Piquete;Fixo_Crossclassified
9;Sexo;Fixo_Crossclassified
10;Geracao;Fixo_Crossclassified
11;Raca;Fixo_Crossclassified
12;itu_media;Covariavel_Linear
13;itu_dp;Covariavel_Linear
14;itu_max;Covariavel_Linear
15;itu_min;Covariavel_Linear
16;itu_leituras_criticas;Covariavel_Linear
17;ID_Animal;Animal_Random
